Make,Combined MPG
AM General,14.75
ASC Incorporated,16.0
Acura,21.50662251655629
Alfa Romeo,19.51219512195122
American Motors Corporation,17.681818181818183
Aston Martin,13.578947368421053
Audi,20.325842696629213
Aurora Cars Ltd,15.0
Autokraft Limited,16.5
BMW,20.03279666070364
BMW Alpina,15.666666666666666
Bentley,13.25
Bertone,22.0
Bill Dovell Motor Car Company,17.0
Bitter Gmbh and Co. Kg,15.666666666666666
Bugatti,10.0
Buick,20.880819366852887
CCC Engineering,15.0
CX Automotive,16.1875
Cadillac,18.375984251968504
Chevrolet,18.508097721657975
Chrysler,20.1201248049922
Consulier Industries Inc,21.0
Dabryan Coach Builders Inc,16.333333333333332
Dacia,23.0
Daewoo,23.074626865671643
Daihatsu,29.647058823529413
Dodge,17.19533898305085
"E. P. Dutton, Inc.",17.0
Eagle,21.987179487179485
Environmental Rsch and Devp Corp,16.0
Evans Automobiles,19.0
Excalibur Autos,14.0
Federal Coach,15.357142857142858
Ferrari,12.76923076923077
Fiat,29.186046511627907
Fisker,20.0
Ford,18.44772572980312
GMC,16.117596932253942
General Motors,18.0
Genesis,19.428571428571427
Geo,27.791666666666668
Goldacre,18.0
Grumman Allied Industries,17.0
Grumman Olson,28.75
Honda,26.361244019138756
Hummer,15.157894736842104
Hyundai,23.809667673716014
Import Foreign Auto Sales Inc,19.0
Import Trade Services,15.538461538461538
Infiniti,19.768115942028984
Isis Imports Ltd,20.0
Isuzu,18.973105134474327
J.K. Motors,14.305555555555555
"JBA Motorcars, Inc.",15.0
Jaguar,18.42274052478134
Jeep,18.51990349819059
Kia,23.606490872210955
Laforza Automobile Inc,11.0
Lambda Control Systems,17.0
Lamborghini,12.326923076923077
Land Rover,15.401408450704226
Lexus,20.9823677581864
Lincoln,19.0
London Coach Co Inc,16.0
London Taxi,22.0
Lotus,20.30188679245283
MINI,28.46875
Mahindra,20.0
Maserati,14.666666666666666
Maybach,12.193548387096774
Mazda,21.913661202185793
McLaren Automotive,18.076923076923077
Mcevoy Motors,19.666666666666668
Mercedes-Benz,18.588785046728972
Mercury,21.14097744360902
Merkur,18.142857142857142
Mitsubishi,21.30842105263158
Mobility Ventures LLC,14.0
Morgan,17.0
Nissan,20.558659217877096
Oldsmobile,20.55851063829787
PAS Inc - GMC,15.0
"PAS, Inc",14.0
Pagani,13.0
Panos,15.0
Panoz Auto-Development,22.0
Panther Car Company Limited,20.25
Peugeot,19.324324324324323
Pininfarina,20.5
Plymouth,21.888157894736842
Pontiac,22.161989795918366
Porsche,19.50812064965197
Quantum Technologies,21.0
Qvale,21.0
Ram,19.24561403508772
Red Shift Ltd.,23.0
Renault,25.393939393939394
Rolls-Royce,12.0125
Roush Performance,14.660377358490566
Ruf Automobile Gmbh,13.0
S and S Coach Company  E.p. Dutton,10.0
SRT,15.0
Saab,20.21219512195122
Saleen,15.0
Saleen Performance,13.5
Saturn,24.06115107913669
Scion,27.216867469879517
Shelby,17.0
Spyker,15.307692307692308
Sterling,18.166666666666668
Subaru,22.293213828425095
Superior Coaches Div E.p. Dutton,10.0
Suzuki,23.390625
TVR Engineering Ltd,18.0
"Tecstar, LP",13.0
Texas Coach Company,12.0
Toyota,21.800108932461875
VPG,14.2
Vector,8.5
Vixen Motor Company,16.0
Volga Associated Automobile,19.0
Volkswagen,24.09360076408787
Volvo,20.605299860529986
Wallace Environmental,13.875
Yugo,25.0
smart,35.8
