Model,Fuel Barrels/Year
1-Ton Truck 2WD,16.804688034624608
100,17.829780701754387
100 Wagon,17.99040935672515
100 quattro,18.43135076252723
100 quattro Wagon,18.311666666666667
1000,12.539713050624592
124 Spider,11.176431034482759
128ci Convertible,15.338993506493509
128i,15.160633116883119
128i Convertible,15.695714285714288
135i,15.68149715320911
135i Convertible,16.10594318181818
1500 2WD,18.173402858969673
1500 4WD,19.093625817551903
1500 HFE 2WD,15.771934523809525
164,18.44140519568151
18i 4DR Wagon,15.83938215102975
18i Sportwagon,15.83938215102975
190,15.664238471177944
190D 2.5,13.775848214285714
190D 2.5 Turbo,14.699423076923075
190E,17.934661764705883
190E 2.3,16.00962857142857
190E 2.3 MERC BENZ,19.388823529411766
190E 2.3-16,17.347894736842107
190E 2.6,17.029108636977057
1fas 410,17.347894736842107
2,10.24714661290891
2.2CL/3.0CL,15.065507575757577
2.3CL/3.0CL,15.065507575757577
2.5TL,16.4805
2.5TL/3.2TL,16.914197368421053
200,14.288664687873784
200 AWD,14.98227272727273
200 Convertible,14.989165882426754
200 quattro,18.311666666666667
200 quattro 20v,18.311666666666667
200 quattro 20v Wagon,18.311666666666667
200 quattro Wagon,18.311666666666667
200E,16.4805
200SX,15.878823589722973
20th Anniversary Trans Am,19.388823529411766
21 TD,23.8865625
222E,21.974
225,21.974
228,23.543571428571425
228i,12.29721204721205
228i Convertible,12.207777777777777
228i xDrive,12.207777777777777
228i xDrive Convertible,12.677307692307696
230CE,16.4805
230E,17.934661764705883
230E MERC BENZ,19.388823529411766
230TE,16.4805
230i Convertible,12.207777777777777
230i Coupe,13.1844
230i xDrive Convertible,12.677307692307696
230i xDrive Coupe,12.207777777777777
240,16.281487354750514
240 DL/240 GL,16.078719753930283
240 DL/240 GL Sedan,16.914197368421053
240 DL/240 GL Wagon,16.409990278727122
240 DL/GL/turbo,17.925848663101608
240 DL/GL/turbo Wagon,17.925848663101608
240 Wagon,16.251447710184554
240SX,15.842157552973342
24E,21.974
2500 2WD,15.731386363636364
260E,18.1911951754386
3,13.006570926204
3 4-Door,10.211222751639841
3 5-Door,10.38996389160756
3 DI 4-Door,10.310381231671553
3 DI 5-Door,10.466446572580644
3 Door 4WD Turbo,14.330869565217393
3 Series,16.928264846899857
3.2 Mondial/Cabriolet,24.750934065934064
3.2CL,16.088107142857144
3.2TL,16.166585714285713
3.5RL,17.99040935672515
300,15.822022283970798
300 AWD,17.098756414846644
300 M,17.347894736842107
300 SRT8,19.388823529411766
300/SRT-8,17.905910585286748
3000 GT,17.91901884340481
3000 GT Spyder,18.191195175438597
3000GT,17.926157894736843
300C AWD,18.311666666666667
300C/SRT-8,18.88717619047619
300CE,18.510090299277607
300CE MERC BENZ,21.974
300D,15.924375
300D 2.5 Turbo,14.846417307692306
300D/300CD,19.15714285714286
300E,18.545995528035778
300E 2.6,17.380020467836257
300E 2.8,17.347894736842107
300E 4Matic,19.691773897058823
300E MERC BENZ,21.974
300M,17.347894736842107
300SD,19.636071428571427
300SDL,18.24064772727273
300SE,21.05841666666667
300SEL,21.2873125
300SL,20.42436296791444
300SL MERC BENZ,21.974
300TD,18.562110389610393
300TE,19.613231209150328
300TE 4Matic,20.297674632352944
300TE MERC BENZ,21.974
300ZX,18.149608267475966
300ZX 2x2,18.00779504643963
308,29.96454545454546
318i,17.347894736842107
318i Convertible,15.079362817617167
318i/318iS,14.98227272727273
318i/318is,14.671111395398082
318is,16.521804511278198
318is Convertible,15.695714285714288
318ti,14.295326733954454
320i,11.946182539682539
320i xDrive,12.286032763532765
323,13.215655534941249
323 Protege 4x4,15.01329192546584
323 Wagon,13.169803743961353
323/323 Protege,13.425089283249532
323ci,16.521804511278198
323i,16.340064661654136
323i Convertible,16.549758069415965
323i Touring,16.521804511278198
323is,15.909746753246754
325ci,15.942674825174826
325ci Convertible,16.88719057258531
325i,16.228417316017318
325i Convertible,17.74823076923077
325i Sport Wagon,15.916232585596225
325i/325iS,17.347894736842107
325i/325is,17.396083333333333
325ic,21.974
325is,21.974
325ix,18.311666666666667
325xi,16.625065789473684
325xi Sport Wagon,16.625065789473684
328 GTS/GTB,24.9018543956044
328ci,15.417221747550698
328ci Convertible,16.022708333333334
328ci xDrive,16.4805
328cxi,16.4805
328d,10.424966216216216
328d xDrive,11.026626050420168
328d xDrive Sports Wagon,11.026626050420168
328i,14.342333300851196
328i Convertible,16.29462969924812
328i Coupe,15.160633116883119
328i Coupe xDrive,16.697348684210525
328i Sport Wagon,16.00962857142857
328i Sport Wagon xDrive,16.4805
328i Sports Wagon,16.088107142857144
328i xDrive,14.959223076923077
328i xDrive Gran Turismo,12.677307692307698
328i xDrive Sport Wagon,16.4805
328i xDrive Sports Wagon,14.198584615384618
328i/328is,16.508036340852133
328ic,16.521804511278198
328is,16.088107142857144
328xi,16.4805
328xi Sport Wagon,16.4805
330ci,15.930130797773655
330ci Convertible,16.790283834586468
330e,6.458816970693277
330i,15.544746528779863
330i xDrive,12.677307692307696
330i xDrive Gran Turismo,12.677307692307696
330i xDrive Sports Wagon,12.677307692307696
330xi,16.781281569307886
335ci,16.102375974025975
335ci Convertible,15.915692099567101
335ci xDrive,16.389129414445204
335cxi,16.914197368421053
335d,14.155
335i,14.970751878918186
335i Convertible,15.338993506493509
335i Coupe,15.160633116883119
335i Coupe xDrive,15.176142715979674
335i xDrive,15.21071959852695
335i xDrive Gran Turismo,13.932789855072464
335is Convertible,16.521804511278198
335is Coupe,16.521804511278198
335xi,16.697348684210525
340i,13.630861705685621
340i xDrive,13.630861705685621
340i xDrive Gran Turismo,13.73375
348 TB/TS,23.90578021978022
350SD Turbo,18.19928571428572
350SDL Turbo,18.19928571428572
350z,16.814113360323887
350z Roadster,16.986480263157897
360 Modena/Modena F1,28.71602272727273
360 Modena/Spider,29.68709595959596
360 Modena/Spider/Challenge,29.46513636363637
370Z,15.428173701298704
370Z Roadster,16.088107142857144
370z,15.695714285714288
380SE,21.974
380SL,21.974
4000,14.358011363636365
4000 CS quattro,18.850245098039217
4000 S,14.358011363636365
4000s,14.032309782608696
4000s quattro,18.311666666666667
400E,19.456145833333334
400SE,23.543571428571425
400SEL,23.543571428571425
405 Sedan,16.245382012724118
405 Sports Wagon,16.284303571428573
405 Station Wagon,16.914197368421053
420 SE,25.35461538461539
420SE,25.35461538461539
420SEL,21.974
428i Convertible,12.207777777777777
428i Coupe,12.442542735042736
428i Gran Coupe,12.207777777777777
428i xDrive Convertible,13.184400000000002
428i xDrive Coupe,12.677307692307698
428i xDrive Gran Coupe,12.677307692307696
430,22.915742857142856
430i Convertible,12.207777777777777
430i Coupe,12.696088888888887
430i Gran Coupe,12.207777777777777
430i xDrive Convertible,12.677307692307696
430i xDrive Coupe,12.677307692307696
430i xDrive Gran Coupe,12.677307692307696
435i Convertible,13.73375
435i Coupe,13.749673188405799
435i Gran Coupe,13.459075
435i xDrive Convertible,14.330869565217393
435i xDrive Coupe,14.240396903820818
435i xDrive Gran Coupe,14.032309782608696
440i Convertible,13.73375
440i Coupe,13.757634782608697
440i Gran Coupe,13.1844
440i xDrive Convertible,13.73375
440i xDrive Coupe,13.757634782608697
440i xDrive Gran Coupe,13.1844
456 MGT/MGA,29.96454545454546
458 Italia,22.95498214285714
458 Italia Coupe,23.543571428571425
458 Italia Spider,23.543571428571425
458 Speciale,22.758785714285715
458 Speciale Spider,22.758785714285715
458 Spider,22.75878571428571
488 GTB,18.311666666666667
488 Spider,18.311666666666667
4C,11.771785714285713
4Runner 2WD,18.536487728973167
4Runner 4WD,19.91274077376254
5,14.216828395389777
5 Series,18.7496715329092
500,10.798250834458567
500 Abarth,11.3151660692951
500 Cabrio,11.365862068965518
500 L,12.410514087301586
500 SEC,27.4675
500 X,12.478092857142856
500 X AWD,13.73375
5000 CS Turbo,17.829780701754387
5000 CS quattro,18.311666666666667
5000 CS quattro Wagon,18.311666666666667
5000 S,17.90663048962275
5000 S quattro,18.311666666666667
5000S,18.87859133126935
5000S Wagon,18.345682146542828
500E,22.072098214285713
500SE,26.991872294372296
500SEC,26.054336913086914
500SEL,25.43007554945055
500SEL 5.0L,25.35461538461539
500SEL 5.6L,29.96454545454546
500SL,24.69519644418082
505,17.208539320328793
505 Sedan,17.73779206256983
505 Station Wagon,18.04853026010349
505 Wagon,17.677202286018076
525i,16.955668766613503
525i Sport Wagon,17.058763157894738
525i Touring,17.588837719298247
525xi,16.4805
528i,15.121678929647352
528i Sport Wagon,17.347894736842107
528i Touring,17.347894736842107
528i xDrive,14.367615384615387
528xi,16.4805
530i,16.741227058008214
530i Touring,18.67071895424837
530xi,16.4805
530xi Sport Wagon,16.4805
535d,12.7395
535d xDrive,12.7395
535i,17.215445499324016
535i Gran Turismo,14.670142045454547
535i Sport Wagon xDrive,17.829780701754387
535i xDrive,15.24477677345538
535i xDrive Gran Turismo,15.695714285714288
535xi,16.914197368421053
535xi Sport Wagon,17.829780701754387
540i,19.65811274509804
540i Sport Wagon,20.297674632352944
540i Touring,20.600625
545i,18.349461644306846
550 GT,18.311666666666667
550 Maranello,34.79216666666667
550 Maranello/Barchetta,36.623333333333335
550i,18.35654820261438
550i Gran Turismo,17.733403508771932
550i xDrive,17.84867819057448
550i xDrive GT,18.311666666666667
550i xDrive Gran Turismo,18.18883298933609
560SE,29.96454545454546
560SEC,25.495735692878554
560SEL,25.75445625802769
560SL,24.827766233766233
57,26.76320512820513
57 S,27.4675
57 Zeppelin,27.4675
570GT,17.347894736842107
570S Coupe,17.347894736842107
575,29.96454545454546
575 M Maranello,29.96454545454546
575 M Maranello and Superamerica,29.96454545454546
57S,27.4675
599 GTB,28.71602272727273
599 GTB Fiorano,27.4675
599 GTO,27.4675
599 SA Aperta,27.4675
6,14.194956513412896
6 Series,22.042091701680672
6 Sport Wagon,16.588924342105262
600,16.0385292448163
600 Convertible,16.35074542416648
6000,16.155878351914133
6000 Wagon,16.315885531304055
600SEL,27.4675
600SEL/SEC,27.4675
600SL,25.35461538461539
612 Scaglietti,28.257381725417442
62,26.67516826923077
62 S,27.4675
626,14.807337405253413
626/MX-6,15.439907937457281
62S,27.4675
635csi,21.2873125
640i Convertible,13.833269927536234
640i Coupe,13.1984858974359
640i Gran Coupe,13.85317391304348
640i xDrive Convertible,14.493720355731227
640i xDrive Coupe,14.493720355731227
640i xDrive Gran Coupe,14.493720355731227
645ci,18.349461644306846
645ci Convertible,19.51638157894737
650S Coupe,18.311666666666667
650S Spider,18.311666666666667
650ci,18.88390625
650ci Convertible,19.990236111111113
650i Convertible,17.405397095680378
650i Convertible xDrive,18.368359133126937
650i Coupe,17.405397095680378
650i Coupe xDrive,18.368359133126937
650i Gran Coupe,16.827457894736842
650i xDrive Convertible,17.829780701754387
650i xDrive Coupe,17.347894736842107
650i xDrive Gran Coupe,17.733403508771932
675LT Coupe,18.311666666666667
7 Series,21.2873125
735i,20.772296875000002
735i Luxury,25.35461538461539
735il,21.896383830455257
740,16.83240191957166
740 16-Valve,17.829780701754387
740 16-Valve Wagon,17.829780701754387
740 GLE Sedan,16.4805
740 GLE Wagon,16.4805
740 Wagon,16.894319944883858
740/760,17.01320281524842
740/760 Wagon,16.507443969074405
740Ld xDrive,14.699423076923075
740Li,15.451283003952572
740Li xDrive,14.98227272727273
740e xDrive,8.00933041448276
740i,17.349229138572426
740i xDrive,14.98227272727273
740i/740i Sport,19.456145833333334
740il,18.86707567401961
740il/740il Protection,18.311666666666667
745i,17.347894736842107
745li,17.347894736842107
750 Series,25.35461538461539
750C/I-Mark,10.202214285714286
750Li,18.368359133126937
750Li xDrive,18.974259868421054
750i,18.70982221957609
750i xDrive,18.567668585526317
750il,24.280925039246473
750il/750il Protection,23.543571428571425
750li,18.580955882352942
760,18.850245098039217
760 Wagon,18.311666666666667
760Li,21.974
760i,20.600625
760li,21.05841666666667
780,19.427293417366947
8 C Spider,25.35461538461539
80,15.948235047846891
80 quattro,17.669152046783626
80/90,16.11446136806663
80/90 quattro,18.311666666666667
825,18.340012899896802
827,18.070723684210527
840ci,20.984362132352942
850,16.240933834586468
850 Wagon,16.32481376518219
850ci,23.6643076923077
850csi,25.35461538461539
850i,25.35461538461539
85J,21.974
86,12.97076388888889
9-2X Wagon AWD,15.535189935064937
9-2x Wagon AWD,15.785384257333057
9-3,15.633468676060783
9-3 Aero Sedan AWD,17.279053884711782
9-3 Aero SportCombi AWD,17.279053884711782
9-3 Convertible,15.84522099032873
9-3 Sedan AWD,14.933749838670648
9-3 Sport Sedan,15.379855352823052
9-3 SportCombi,15.760792266689002
9-3 Viggen,16.126595437457283
9-3 Viggen Convertible,15.719495670995672
9-3X SportCombi AWD,14.933749838670648
9-4X AWD,17.829780701754387
9-4X FWD,16.4805
9-5,16.112877736864156
9-5 Sedan,15.357542987012987
9-5 Sedan AWD,16.4805
9-5 SportCombi,15.998926948051949
9-5 Wagon,16.252449031670086
9-7X AWD,21.5074046474359
90,17.29624160073386
90 quattro,18.028204334365327
90 quattro 20v,18.311666666666667
900,16.80411752018949
900 Convertible,16.999364279914243
9000,17.04063923900661
900S,16.126595437457283
900S Convertible,15.731386363636364
900SE,16.521804511278198
900SE Convertible,16.521804511278198
911,18.850245098039217
911 C4 GTS,15.695714285714288
911 C4 GTS Cabriolet,16.088107142857144
911 Carrera,16.682653040894383
911 Carrera 2/4,18.850245098039217
911 Carrera 4,15.299535261733153
911 Carrera 4 Cabriolet,15.659770198483436
911 Carrera 4 GTS,15.695714285714288
911 Carrera 4 GTS Cabriolet,16.088107142857144
911 Carrera 4 Targa,15.695714285714288
911 Carrera 4/2,19.336461737472767
911 Carrera 4S,15.746451624545298
911 Carrera 4S Cabriolet,15.67564874188312
911 Carrera 4S Targa,16.088107142857144
911 Carrera Cabriolet,15.192990131372571
911 Carrera GTS,15.695714285714288
911 Carrera GTS Cabriolet,16.088107142857144
911 Carrera S,14.95658495376906
911 Carrera S Cabriolet,15.086477846202712
911 GT2,18.432138157894737
911 GT2 RS,17.347894736842107
911 GT3,19.427293417366947
911 GT3 RS,20.066534722222222
911 GTS,15.338993506493509
911 GTS Cabriolet,15.695714285714288
911 R,20.600625
911 Speedster,15.695714285714288
911 Targa,17.347894736842107
911 Targa 4,15.093747970779223
911 Targa 4 GTS,15.695714285714288
