Make,Combined MPG
Acura,20.636363636363637
Aston Martin,15.0
Audi,19.23076923076923
BMW,20.741935483870968
Buick,20.2
Cadillac,18.25
Chevrolet,17.066666666666666
Chrysler,19.571428571428573
Dodge,16.782608695652176
Eagle,20.666666666666668
Ferrari,10.666666666666666
Ford,17.72289156626506
GMC,15.636363636363637
Geo,25.4
Honda,23.48
Hyundai,22.714285714285715
Infiniti,18.6
Isuzu,17.181818181818183
Jaguar,18.0
Jeep,16.142857142857142
Kia,21.375
Lamborghini,10.0
Land Rover,13.0
Lexus,17.714285714285715
Lincoln,18.333333333333332
Lotus,16.0
Mazda,20.535714285714285
Mercedes-Benz,17.866666666666667
Mercury,20.894736842105264
Mitsubishi,20.53125
Nissan,20.444444444444443
Oldsmobile,19.90909090909091
Plymouth,22.5
Pontiac,21.36842105263158
Porsche,17.333333333333332
Rolls-Royce,11.909090909090908
Saab,19.692307692307693
Saturn,26.666666666666668
Subaru,22.375
Suzuki,23.2
Toyota,20.90740740740741
Vector,9.0
Volkswagen,23.833333333333332
Volvo,20.0
